Date,Name,Tags,Project,Description
2024/11/01 13:30 (JST) → 14:15,Heat Transfer / 課題,"Output, Productive","伝熱・熱力学(Heat Transfer)／Heat Transfer and Thermodynamics (https://www.notion.so/Heat-Transfer-Heat-Transfer-and-Thermodynamics-1127ef7cacf180cb9745eadfc44c0e81?pvs=21) ","Heat Transfer - Ninth Edition - International Edition (https://www.notion.so/Heat-Transfer-Ninth-Edition-International-Edition-1157ef7cacf180679ad5f59aae2c03d0?pvs=21) "
2024/11/01 13:00 (JST) → 13:30,lunch,Life,,
2024/11/01 12:15 (JST) → 13:00,南出先生zoom,"MTG, Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/11/01 10:25 (JST) → 12:10,量子力学 / CAD,"Creative, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/11/01 8:30 (JST) → 10:15,幾何数理工学,"Input, Lecture, Productive","幾何数理工学／Geometrical Method in Mathematical Engineering (https://www.notion.so/Geometrical-Method-in-Mathematical-Engineering-1137ef7cacf18058967df832af77c439?pvs=21) ",
2024/11/01 8:15 (JST) → 8:30,応用プロジェクト / CAD,"Creative, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/11/01 7:15 (JST) → 8:15,transfer,"English, Tranfer",,
2024/11/01 7:00 (JST) → 7:15,morning,Life,,
2024/11/01 5:30 (JST) → 7:00,応用プロジェクト / CAD,"Creative, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/11/01 5:15 (JST) → 5:30,morning,Life,,
2024/10/31 23:30 (JST) → 2024/11/01 0:30 (JST),応用プロジェクト / CAD,"Creative, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/10/31 23:00 (JST) → 23:30,dinner and shower,Life,,
2024/10/31 22:00 (JST) → 23:00,transfer / 流体力学,"Review, Tranfer","数理手法II／Mathematical Method II (https://www.notion.so/II-Mathematical-Method-II-1127ef7cacf18046b615ed8491a4edc2?pvs=21) ",
2024/10/31 19:15 (JST) → 22:00,応用プロジェクト / CAD,"Creative, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/10/31 16:50 (JST) → 19:00,応用プロジェクトＡ / 水槽実験,"Creative, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/10/31 14:55 (JST) → 16:40,応用プロジェクトＡ,"Creative, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/10/31 13:00 (JST) → 14:45,応用プロジェクトＡ,"Creative, Output, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2024/10/31 12:15 (JST) → 13:00,lunch,"Life, With friends",,
2024/10/31 10:25 (JST) → 12:10,数理計画と最適化２,"Input, Lecture, Output, Productive","数理計画と最適化２／Mathematical Programming and Optimization 2 (https://www.notion.so/Mathematical-Programming-and-Optimization-2-1137ef7cacf180509189cc5588a3762a?pvs=21) ","半順序プランナ・プランと実行 (https://www.notion.so/1307ef7cacf18076bb69f85619e8a819?pvs=21) "
2024/10/31 8:30 (JST) → 10:15,数理計画と最適化２,"Input, Lecture, Output, Productive","数理計画と最適化２／Mathematical Programming and Optimization 2 (https://www.notion.so/Mathematical-Programming-and-Optimization-2-1137ef7cacf180509189cc5588a3762a?pvs=21) ","STRIPSと半順序プラン (https://www.notion.so/STRIPS-e696609a44b94470afc81418a02a66cc?pvs=21) "
2024/10/31 7:15 (JST) → 8:30,transfer,"English, Tranfer",,
